
 --- Table  1: Summary of nuclide data: 

 Data for 83 nuclides included in calculation:

 - 83 Transport nuclides
 - No dosimetry nuclides
 - No decay nuclides
 - 2065 reaction channels
 - 2210 special reactions
 - 224 transmutation reactions
 - 12 transmutation branch reactions
 - 10 decay reactions
 - No decay branch reactions
 - 3 lost transmutation paths

 Columns:

  1. Index
  2. Level (first occurence in transmutation paths)
  3. Name (nuclide identifier data)
  4. Library ID
  5. Primary data type: TRA = transport
                        DOS = dosimetry
                        SAB = thermal scattering
                        DEC = only decay data
                        STR = only structural data (mass)
                        PHO = photon interaction data
  6. Z (atomic number)
  7. A (isotope number)
  8. I (isomeric state)
  9. Atomic weight
 10. Temperature (in Kelvin)
 11. Decay constant (1/s)
 12. Flags: I - nuclide is present in initial composition
            B - nuclide is involved in burnup calculation
            A - nuclide is produced as activation product
            D - nuclide is produced as decay product
            F - nuclide is produced as fission product
            B - nuclide is produced in decay or transmutation branching
            T - nuclide has neutron transport cross section data
            S - nuclide has S(a,b) data
            I - nuclide has isomeric branching reactions
            F - nuclide is fissile
            P - nuclide is a delayed neutron precursor
            D - nuclide has delayed neutron data
            U - nuclide has uses ures ptable data
            T - nuclide cross sections are adjusted by TMS
            D - nuclide has dosimetry cross section data
            R - nuclide has radioactive decay data
            N - nuclide has neutron-induced fission yield data
            S - nuclide has spontaneous fission yield data
            P - nuclide has photon transport cross section data
            T - nuclide has supplementary transmutation cross section data
            D - nuclide is used to provide 0K data for DBRC

    1   0  1001.05c      05c  TRA    1   1 0    1.00001     0.0       stable  I-----T--------R-----  hydrogen (H-1)
    2   0  1001.05c      05c  TRA    1   1 0    1.00001    46.8       stable  I-----T--------R-----  hydrogen (H-1)
    3   0  1001.05c      05c  TRA    1   1 0    1.00001     0.0       stable  I-----T------T-R-----  hydrogen (H-1)
    4   0  1002.05c      05c  TRA    1   2 0    2.00001     0.0       stable  I-----T--------R-----  deuterium (H-2)
    5   0  1002.05c      05c  TRA    1   2 0    2.00001    46.8       stable  I-----T--------R-----  deuterium (H-2)
    6   0  1002.05c      05c  TRA    1   2 0    2.00001     0.0       stable  I-----T------T-R-----  deuterium (H-2)
    7   0  4009.05c      05c  TRA    4   9 0    9.00001   236.1       stable  I-----T--------R-----  beryllium 9 (Be-9)
    8   0  6012.05c      05c  TRA    6  12 0   11.99999     0.0       stable  IB----T------T-R-----  carbon 12 (C-12)
    9   0  6012.05c      05c  TRA    6  12 0   11.99999   236.1       stable  I-----T--------R-----  carbon 12 (C-12)
   10   0  6012.05c      05c  TRA    6  12 0   11.99999    46.8       stable  I-----T--------R-----  carbon 12 (C-12)
   11   0  6012.05c      05c  TRA    6  12 0   11.99999  2736.7       stable  I-----T--------R-----  carbon 12 (C-12)
   12   0  7014.05c      05c  TRA    7  14 0   13.99997     0.0       stable  IB----T------T-R-----  nitrogen 14 (N-14)
   13   0  7015.05c      05c  TRA    7  15 0   14.99996     0.0       stable  IB----T------T-R-----  nitrogen 15 (N-15)
   14   0  8016.05c      05c  TRA    8  16 0   15.99995     0.0       stable  IB----T------T-R-----  oxygen 16 (O-16)
   15   0  8016.05c      05c  TRA    8  16 0   15.99995   236.1       stable  I-----T--------R-----  oxygen 16 (O-16)
   16   0  8016.05c      05c  TRA    8  16 0   15.99995    46.8       stable  I-----T--------R-----  oxygen 16 (O-16)
   17   0  8017.05c      05c  TRA    8  17 0   17.00004     0.0       stable  IB----T------T-R-----  oxygen 17 (O-17)
   18   0  8017.05c      05c  TRA    8  17 0   17.00004    46.8       stable  I-----T--------R-----  oxygen 17 (O-17)
   19   0  12024.05c     05c  TRA   12  24 0   23.99997  2742.1       stable  I-----T--------R-----  magnesium 24 (Mg-24)
   20   0  12024.05c     05c  TRA   12  24 0   23.99997     0.0       stable  I-----T--------R-----  magnesium 24 (Mg-24)
   21   0  12025.05c     05c  TRA   12  25 0   24.99996  2742.1       stable  I-----T--------R-----  magnesium 25 (Mg-25)
   22   0  12025.05c     05c  TRA   12  25 0   24.99996     0.0       stable  I-----T--------R-----  magnesium 25 (Mg-25)
   23   0  12026.05c     05c  TRA   12  26 0   25.99995  2742.1       stable  I-----T--------R-----  magnesium 26 (Mg-26)
   24   0  12026.05c     05c  TRA   12  26 0   25.99995     0.0       stable  I-----T--------R-----  magnesium 26 (Mg-26)
